/////////////////////////////////////////////////////////////////////  
///                                                              /// 
///                                                             /// 
/// BEST  TIMECYC FOR GTA SAN ANDREAS AND SA-MP V1 BY ROBERT   ///                                                                        
///  CREATED BY ROBERT ENB SERIES(BadDriver on some forums)   ///
///             I am the owner of this mod!                  ///                            
///                                                         ///                                                                 
///                                                        ///                                                              
///                                                       ///
///                                                      ///
///////////////////////////////////////////////////////////


//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
50 50 50	212 183 100	255 255 255	7 0 5	2 0 0	255 128 0	5 0 0	1 0.3 0.7 200 100 0 1000 100 1	30 20 0	3 3 3	18 18 16 240	72 0 0 0	127 0 0 0	0 40 0 0
//5AM
22 22 22	194 194 142	255 255 255	0 0 0	0 0 6	0 0 0	0 0 0	0 1 0.2 150 100 0 2000 100 1	0 0 0	0 0 0	53 104 104 240	127 80 80 80	127 60 190 190	0 90 0 0
//6AM
22 22 22	210 194 182	255 255 255	6 144 255	229 255 40	255 128 0	255 128 0	8.4 1 0.3 140 93 0 2300 100 0.8	0 0 0	243 129 52	90 170 170 240	127 86 86 86	127 149 94 0	25 120 0 0
//7AM
5 0 0	255 181 106	255 255 255	26 112 255	148 229 255	255 255 255	255 255 255	2.2 1 0.3 100 50 75 2300 100 0.5	0 0 0	255 255 255	145 170 170 240	127 133 106 70	127 96 61 15	25 180 0 0
//Midday
5 0 0	255 181 106	255 255 255	5 88 255	0 118 255	255 255 255	255 255 255	2.2 1 0.3 100 50 75 2300 100 0.5	0 0 0	255 255 255	145 170 170 240	127 133 106 70	127 96 61 15	25 180 0 0
//7PM
8 5 5	255 255 182	255 255 255	55 103 255	62 161 255	255 255 255	255 255 255	3.9 1 0 110 40 75 2300 10 0.8	0 0 0	192 192 192	50 97 97 240	127 124 124 107	127 86 50 10	25 180 0 1
//8PM
25 14 14	210 194 182	255 255 255	98 155 255	255 117 45	255 128 0	255 128 0	2 1 0.4 100 60 0 2300 10 1	0 0 0	128 0 64	67 67 67 240	127 81 85 40	127 66 27 0	25 140 0 1
//10PM
0 0 0	225 204 202	255 255 255	0 0 0	7 0 0	255 128 0	5 8 0	1 0.5 0.7 160 100 0 1400 10 0.8	70 27 10	0 0 0	71 46 53 170	12 77 143 84	127 76 51 0	0 30 0 1
//
